slug,name,error,quality,description,references,biomarkers/0,biomarkers/1,biomarkers/2,biomarkers/3,biomarkers/4,biomarkers/5,biomarkers/6,biomarkers/7
self_reported,Manual entry,10.0,manual,"Manually entered occurencies of interventions or symptoms with subjective perception of the user himself.
The accuracy of the input remains solely in the responsibilty of the user",,sleep_episode,,,,,,,
approved,Approved interventions or symptoms,3.0,clinical,Approved occurencies of interventions or symptoms with objective perception of a testimonial in e.g a clinical trial environment or a video recording,,body_height,,,,,,,
pedometer,Pedometer (Fitness tracker),1.0,manual,"A pedometer is a device, usually portable and electronic or electromechanical,
that counts each step a person takes by detecting the motion of the person's hands or hips. Also smart phone or fitness tracker",https://en.wikipedia.org/wiki/Pedometer,steps_count,calories_burned,,,,,,
body_weight_scale,Body weight scale,1.0,consumer,A scale is a device to measure weight or mass of the human body. It should be measured without clothes on and in breakfastless condition.,https://en.wikipedia.org/wiki/Weighing_scale,body_weight,,,,,,,
mass_spectrometry,Mass spectrometry,5.0,clinical,"Mass spectrometry (MS) is an analytical technique that measures the mass-to-charge ratio of ions.
The results are typically presented as a mass spectrum, a plot of intensity as a function of the mass-to-charge ratio.
Mass spectrometry is used in many different fields and is applied to pure samples as well as complex mixtures.",https://en.wikipedia.org/wiki/Mass_spectrometry,blood_analysis,,,,,,,
ppg,Photoplethysmography (PPG),0.1,clinical,"Photoplethysmography (PPG) is an uncomplicated and inexpensive optical measurement method that is often used for heart rate monitoring purposes.
PPG is a non-invasive technology that uses a light source and a photodetector at the surface of skin to measure the volumetric variations of blood circulation",https://en.wikipedia.org/wiki/Photoplethysmogram,blood_pressure,heart_rate,heart_rate_variability,sleep_episode,,,,
ppg-3Dacc,Photoplethysmography (PPG) + 3D Accelerometer,0.1,clinical,Photoplethysmography (PPG) + 3D Accelerometer are normally used as a combination in fitness trackers to measure different markers during a sleep.,https://en.wikipedia.org/wiki/Photoplethysmogram,sleep_episode,,,,,,,
rppg,Remote Photoplethysmography (rPPG),0.1,clinical,"Remote Photoplethysmography (rPPG) is an uncomplicated and inexpensive optical measurement method that is often used for heart rate monitoring purposes.
rPPG is a non-invasive technology that uses a light source and a photodetector at the surface of skin to measure the volumetric variations of blood circulation",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6874325/,blood_pressure,heart_rate,heart_rate_variability,,,,,
blood_pressure_cuff,Blood pressure monitor with inflatable cuff (Sphygmomanometer),0.1,clinical,"A sphygmomanometer, also known as a blood pressure monitor, or blood pressure gauge, is a device used to measure blood pressure,
composed of an inflatable cuff to collapse and then release the artery under the cuff in a controlled manner,",https://en.wikipedia.org/wiki/Sphygmomanometer,blood_pressure,,,,,,,
blood_glucose_fingerstick,Blood glucose monitoring with a Fingerstick,1.0,clinical,"In medicine, some blood tests are conducted on capillary blood obtained by fingerstick (or fingerprick).
The site, free of surface arterial flow, where the blood is to be collected is sterilized with a topical germicide,
and the skin pierced with a sterile lancet. After a droplet has formed, capillary blood is captured in a capillary tube (usually relying on surface tension).",https://en.wikipedia.org/wiki/Fingerstick,blood_glucose,,,,,,,
cgm,Continuous glucose monitor (CGM),1.0,clinical,"A continuous glucose monitor (CGM) is a device used for monitoring blood glucose on a continual basis. A continuous glucose monitor
takes a reading on set intervals with a small electrode placed under the skin and held in place by an adhesive.
A transmitter attached to the electrode sends data to a separate receiver.",https://en.wikipedia.org/wiki/Continuous_glucose_monitor,blood_glucose,,,,,,,
ecg,Electrocardiography,0.5,clinical,"Electrocardiography is the process of producing an electrocardiogram (ECG or EKG[a]). It is a graph of voltage versus time of the
electrical activity of the heart[4] using electrodes placed on the skin. These electrodes detect the small electrical changes that are a
consequence of cardiac muscle depolarization followed by repolarization during each cardiac cycle (heartbeat).",https://en.wikipedia.org/wiki/Electrocardiography,heart_rate,heart_rate_variability,,,,,,
urine_test_stripe,Urin ph test stripe diagnostic (Urinalysis),5.0,clinical,"A urine test strip or dipstick is a basic diagnostic tool used to determine pathological changes in a patient's urine in standard urinalysis.
A standard urine test strip may comprise up to 10 different chemical pads or reagents which react (change color) when immersed in, and then removed from,
a urine sample. The test can often be read in as little as 60 to 120 seconds after dipping, although certain tests require longer.",https://en.wikipedia.org/wiki/Urine_test_strip,urine_analysis,,,,,,,
thermometer,Thermometer to measure temperature,1.0,clinical,A thermometer is a device that measures temperature or a temperature gradient (the degree of hotness or coldness of an object).,https://en.wikipedia.org/wiki/Thermometer,body_temperature,,,,,,,
gene_sequencing,Genomic sequencing,0.1,clinical,"Whole genome sequencing is ostensibly the process of determining the complete DNA sequence of an organism's genome at a single time.
This entails sequencing all of an organism's chromosomal DNA as well as DNA contained in the mitochondria and, for plants, in the chloroplast.
In practice, genome sequences that are nearly complete are also called whole genome sequences.",https://en.wikipedia.org/wiki/Whole_genome_sequencing,,,,,,,,
epigenetic_clock,Epigenetic clock,0.1,clinical,An epigenetic clock is a biochemical test that can be used to measure age. The test is based on DNA methylation levels.,https://en.wikipedia.org/wiki/Epigenetic_clock,biological_age,,,,,,,
agemeter,Agemeter,1.0,clinical,The Agemeter calculates functional age by testing physiological biomarkers that decline with age. Audio-Visually Guided AgeMeter Tests Require No Supervision,https://www.agemeter.com/how-it-works,auditory_reaction_time,highest_audible_pitch,decision_reaction_time,decision_movement_time,short_term_memory,muscle_speed_coordination,visual_reaction_time,visual_movement_time
