%,Percent [Most Common Healthcare Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,%,Active,Most Common Healthcare Units,12/8/2005,Percent,1,1
/uL,PerMicroLiter [Most Common Healthcare Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,/uL,Active,Most Common Healthcare Units,12/8/2005,PerMicroLiter,L-3,2
[iU]/L,InternationalUnitsPerLiter [Most Common Healthcare Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,IU/L,Active,Most Common Healthcare Units,12/8/2005,InternationalUnitsPerLiter,L-3[arb],3
10*3/uL,ThousandsPerMicroLiter [Most Common Healthcare Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,"K/uL, x10^3/mm^3",Active,Most Common Healthcare Units,12/8/2005,ThousandsPerMicroLiter,L-3,4
10*6/uL,MillionsPerMicroLiter [Most Common Healthcare Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,"M/uL, x10^6/mm^3",Active,Most Common Healthcare Units,12/8/2005,MillionsPerMicroLiter,L-3,5
fL,FemtoLiter [Most Common Healthcare Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,fL,Active,Most Common Healthcare Units,12/8/2005,FemtoLiter,L-3,6
g/dL,GramsPerDeciLiter [Most Common Healthcare Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,g/dL,Active,Most Common Healthcare Units,12/8/2005,GramsPerDeciLiter,L-3M,7
g/L,GramsPerLiter [Most Common Healthcare Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,g/L,Active,Most Common Healthcare Units,12/8/2005,GramsPerLiter,L-3M,8
g/mL,GramsPerMilliLiter [Most Common Healthcare Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,g/mL,Active,Most Common Healthcare Units,12/8/2005,GramsPerMilliLiter,L-3M,9
kPa,KiloPascal [Most Common Healthcare Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,kPa,Active,Most Common Healthcare Units,12/8/2005,KiloPascal,L-1MT-2,10
m[iU]/mL,MilliInternationalUnitsPerMilliLiter [Most Common Healthcare Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,mIU/mL,Active,Most Common Healthcare Units,12/8/2005,MilliInternationalUnitsPerMilliLiter,L-3[arb],11
